tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
Model passed causality check.
step:147/4768 | loss 0.187407 | train_time:1269.92s | step_avg:8580.56ms
step:148/4768 | loss 0.187818 | train_time:1278.50s | step_avg:8580.52ms
step:149/4768 | loss 0.186151 | train_time:1287.07s | step_avg:8580.49ms
step:150/4768 | loss 0.185736 | train_time:1295.66s | step_avg:8580.51ms
step:151/4768 | loss 0.183877 | train_time:1304.25s | step_avg:8580.59ms
step:152/4768 | loss 0.185889 | train_time:1312.83s | step_avg:8580.60ms
step:153/4768 | loss 0.183813 | train_time:1321.42s | step_avg:8580.65ms
step:154/4768 | loss 0.186399 | train_time:1330.00s | step_avg:8580.67ms
step:155/4768 | loss 0.185424 | train_time:1338.58s | step_avg:8580.64ms
step:156/4768 | loss 0.186064 | train_time:1347.16s | step_avg:8580.63ms
step:157/4768 | loss 0.183135 | train_time:1355.74s | step_avg:8580.66ms
step:158/4768 | loss 0.183737 | train_time:1364.32s | step_avg:8580.66ms
step:159/4768 | loss 0.184967 | train_time:1372.91s | step_avg:8580.66ms
step:160/4768 | loss 0.183917 | train_time:1381.49s | step_avg:8580.66ms
step:161/4768 | loss 0.184249 | train_time:1390.06s | step_avg:8580.62ms
step:162/4768 | loss 0.181755 | train_time:1398.64s | step_avg:8580.62ms
step:163/4768 | loss 0.182779 | train_time:1407.23s | step_avg:8580.66ms
step:164/4768 | loss 0.181926 | train_time:1415.81s | step_avg:8580.66ms
step:165/4768 | loss 0.183113 | train_time:1424.39s | step_avg:8580.65ms
step:166/4768 | loss 0.181472 | train_time:1432.98s | step_avg:8580.69ms
step:167/4768 | loss 0.182443 | train_time:1441.55s | step_avg:8580.68ms
step:168/4768 | loss 0.180096 | train_time:1450.13s | step_avg:8580.65ms
step:169/4768 | loss 0.179079 | train_time:1458.71s | step_avg:8580.67ms
step:170/4768 | loss 0.177754 | train_time:1467.29s | step_avg:8580.64ms
step:171/4768 | loss 0.181204 | train_time:1475.87s | step_avg:8580.66ms
step:172/4768 | loss 0.178608 | train_time:1484.46s | step_avg:8580.68ms
step:173/4768 | loss 0.181798 | train_time:1493.04s | step_avg:8580.71ms
step:174/4768 | loss 0.183026 | train_time:1501.63s | step_avg:8580.75ms
step:175/4768 | loss 0.180351 | train_time:1510.22s | step_avg:8580.77ms
step:176/4768 | loss 0.178393 | train_time:1518.80s | step_avg:8580.79ms
step:177/4768 | loss 0.179817 | train_time:1527.39s | step_avg:8580.83ms
step:178/4768 | loss 0.180316 | train_time:1535.97s | step_avg:8580.85ms
step:179/4768 | loss 0.177705 | train_time:1544.55s | step_avg:8580.84ms
step:180/4768 | loss 0.176893 | train_time:1553.12s | step_avg:8580.80ms
step:181/4768 | loss 0.178200 | train_time:1561.69s | step_avg:8580.72ms
step:182/4768 | loss 0.175848 | train_time:1570.26s | step_avg:8580.65ms
step:183/4768 | loss 0.178407 | train_time:1578.83s | step_avg:8580.57ms
step:184/4768 | loss 0.177240 | train_time:1587.40s | step_avg:8580.53ms
step:185/4768 | loss 0.176918 | train_time:1595.97s | step_avg:8580.51ms
step:186/4768 | loss 0.183005 | train_time:1604.56s | step_avg:8580.56ms
step:187/4768 | loss 0.179338 | train_time:1613.13s | step_avg:8580.50ms
step:188/4768 | loss 0.174544 | train_time:1621.71s | step_avg:8580.48ms
step:189/4768 | loss 0.178327 | train_time:1630.29s | step_avg:8580.48ms
step:190/4768 | loss 0.178121 | train_time:1639.36s | step_avg:8583.01ms
step:191/4768 | loss 0.175016 | train_time:1647.92s | step_avg:8582.94ms
step:192/4768 | loss 0.173787 | train_time:1656.50s | step_avg:8582.92ms
step:193/4768 | loss 0.176332 | train_time:1665.08s | step_avg:8582.91ms
step:194/4768 | loss 0.177679 | train_time:1673.67s | step_avg:8582.92ms
step:195/4768 | loss 0.176473 | train_time:1682.25s | step_avg:8582.90ms
step:196/4768 | loss 0.176192 | train_time:1690.84s | step_avg:8582.92ms
step:197/4768 | loss 0.176048 | train_time:1699.42s | step_avg:8582.92ms
step:198/4768 | loss 0.174559 | train_time:1707.99s | step_avg:8582.86ms
step:199/4768 | loss 0.175580 | train_time:1716.55s | step_avg:8582.77ms
step:200/4768 | loss 0.178196 | train_time:1725.12s | step_avg:8582.68ms
step:201/4768 | loss 0.174617 | train_time:1733.68s | step_avg:8582.59ms
step:202/4768 | loss 0.174149 | train_time:1742.25s | step_avg:8582.49ms
step:203/4768 | loss 0.174392 | train_time:1750.82s | step_avg:8582.44ms
step:204/4768 | loss 0.174372 | train_time:1759.38s | step_avg:8582.36ms
step:205/4768 | loss 0.169992 | train_time:1767.95s | step_avg:8582.30ms
step:206/4768 | loss 0.174534 | train_time:1776.52s | step_avg:8582.22ms
step:207/4768 | loss 0.176279 | train_time:1785.09s | step_avg:8582.15ms
step:208/4768 | loss 0.173344 | train_time:1793.65s | step_avg:8582.05ms
step:209/4768 | loss 0.172618 | train_time:1802.21s | step_avg:8581.96ms
step:210/4768 | loss 0.173199 | train_time:1810.78s | step_avg:8581.91ms
step:211/4768 | loss 0.173345 | train_time:1819.36s | step_avg:8581.86ms
step:212/4768 | loss 0.172887 | train_time:1827.92s | step_avg:8581.76ms
step:213/4768 | loss 0.172137 | train_time:1836.49s | step_avg:8581.75ms
step:214/4768 | loss 0.171591 | train_time:1845.07s | step_avg:8581.73ms
step:215/4768 | loss 0.172853 | train_time:1853.65s | step_avg:8581.70ms
step:216/4768 | loss 0.170352 | train_time:1862.22s | step_avg:8581.67ms
step:217/4768 | loss 0.171380 | train_time:1870.80s | step_avg:8581.64ms
step:218/4768 | loss 0.171123 | train_time:1879.38s | step_avg:8581.64ms
step:219/4768 | loss 0.169996 | train_time:1887.96s | step_avg:8581.61ms
step:220/4768 | loss 0.170275 | train_time:1896.54s | step_avg:8581.63ms
step:221/4768 | loss 0.168834 | train_time:1905.12s | step_avg:8581.64ms
step:222/4768 | loss 0.170013 | train_time:1913.70s | step_avg:8581.61ms
step:223/4768 | loss 0.171176 | train_time:1922.27s | step_avg:8581.57ms
step:224/4768 | loss 0.169473 | train_time:1930.85s | step_avg:8581.57ms
step:225/4768 | loss 0.167662 | train_time:1939.43s | step_avg:8581.53ms
step:226/4768 | loss 0.167747 | train_time:1948.00s | step_avg:8581.48ms
step:227/4768 | loss 0.169509 | train_time:1956.56s | step_avg:8581.42ms
step:228/4768 | loss 0.168466 | train_time:1965.13s | step_avg:8581.34ms
step:229/4768 | loss 0.170470 | train_time:1973.70s | step_avg:8581.30ms
step:230/4768 | loss 0.166352 | train_time:1982.26s | step_avg:8581.23ms
