tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
Model passed causality check.
step:0/4768 | val loss 11.018694
step:143/4768 | loss 0.189405 | train_time:1288.58s | step_avg:8948.45ms
step:144/4768 | loss 0.190095 | train_time:1297.52s | step_avg:8948.45ms
step:145/4768 | loss 0.185609 | train_time:1306.48s | step_avg:8948.47ms
step:146/4768 | loss 0.186766 | train_time:1315.43s | step_avg:8948.50ms
step:147/4768 | loss 0.187546 | train_time:1324.38s | step_avg:8948.50ms
step:148/4768 | loss 0.188146 | train_time:1333.33s | step_avg:8948.51ms
step:149/4768 | loss 0.186817 | train_time:1342.27s | step_avg:8948.50ms
step:150/4768 | loss 0.186274 | train_time:1351.23s | step_avg:8948.57ms
step:151/4768 | loss 0.183819 | train_time:1360.20s | step_avg:8948.67ms
step:152/4768 | loss 0.184891 | train_time:1369.15s | step_avg:8948.72ms
step:153/4768 | loss 0.184355 | train_time:1378.13s | step_avg:8948.87ms
step:154/4768 | loss 0.186710 | train_time:1387.08s | step_avg:8948.91ms
step:155/4768 | loss 0.185935 | train_time:1396.04s | step_avg:8949.00ms
step:156/4768 | loss 0.186200 | train_time:1405.00s | step_avg:8949.02ms
step:157/4768 | loss 0.183093 | train_time:1413.96s | step_avg:8949.10ms
step:158/4768 | loss 0.183737 | train_time:1422.91s | step_avg:8949.14ms
step:159/4768 | loss 0.186125 | train_time:1431.87s | step_avg:8949.16ms
step:160/4768 | loss 0.185335 | train_time:1440.82s | step_avg:8949.17ms
step:161/4768 | loss 0.184257 | train_time:1449.77s | step_avg:8949.19ms
step:162/4768 | loss 0.183022 | train_time:1458.72s | step_avg:8949.22ms
step:163/4768 | loss 0.183484 | train_time:1467.70s | step_avg:8949.36ms
step:164/4768 | loss 0.182463 | train_time:1476.65s | step_avg:8949.38ms
step:165/4768 | loss 0.183403 | train_time:1485.60s | step_avg:8949.42ms
step:166/4768 | loss 0.181247 | train_time:1494.56s | step_avg:8949.46ms
step:167/4768 | loss 0.181893 | train_time:1503.51s | step_avg:8949.47ms
step:168/4768 | loss 0.180483 | train_time:1512.46s | step_avg:8949.48ms
step:169/4768 | loss 0.180304 | train_time:1521.41s | step_avg:8949.47ms
step:170/4768 | loss 0.178850 | train_time:1530.36s | step_avg:8949.47ms
step:171/4768 | loss 0.181803 | train_time:1539.31s | step_avg:8949.47ms
step:172/4768 | loss 0.178967 | train_time:1548.26s | step_avg:8949.48ms
step:173/4768 | loss 0.181062 | train_time:1557.21s | step_avg:8949.48ms
step:174/4768 | loss 0.180623 | train_time:1566.16s | step_avg:8949.50ms
step:175/4768 | loss 0.178996 | train_time:1575.14s | step_avg:8949.65ms
step:176/4768 | loss 0.177287 | train_time:1584.09s | step_avg:8949.63ms
step:177/4768 | loss 0.178354 | train_time:1593.03s | step_avg:8949.62ms
step:178/4768 | loss 0.179047 | train_time:1601.98s | step_avg:8949.61ms
step:179/4768 | loss 0.177581 | train_time:1610.94s | step_avg:8949.66ms
step:180/4768 | loss 0.180372 | train_time:1619.89s | step_avg:8949.66ms
step:181/4768 | loss 0.182401 | train_time:1628.85s | step_avg:8949.72ms
step:182/4768 | loss 0.180172 | train_time:1637.80s | step_avg:8949.73ms
step:183/4768 | loss 0.182857 | train_time:1646.75s | step_avg:8949.74ms
step:184/4768 | loss 0.181973 | train_time:1655.70s | step_avg:8949.73ms
step:185/4768 | loss 0.178632 | train_time:1664.64s | step_avg:8949.68ms
step:186/4768 | loss 0.182538 | train_time:1673.58s | step_avg:8949.60ms
step:187/4768 | loss 0.180269 | train_time:1682.51s | step_avg:8949.52ms
step:188/4768 | loss 0.174997 | train_time:1691.44s | step_avg:8949.43ms
step:189/4768 | loss 0.178791 | train_time:1700.38s | step_avg:8949.35ms
step:190/4768 | loss 0.179024 | train_time:1709.51s | step_avg:8950.32ms
step:191/4768 | loss 0.175579 | train_time:1718.44s | step_avg:8950.23ms
step:192/4768 | loss 0.174392 | train_time:1727.37s | step_avg:8950.13ms
step:193/4768 | loss 0.177369 | train_time:1736.30s | step_avg:8950.02ms
step:194/4768 | loss 0.178452 | train_time:1745.24s | step_avg:8949.93ms
step:195/4768 | loss 0.177214 | train_time:1754.17s | step_avg:8949.83ms
step:196/4768 | loss 0.176450 | train_time:1763.10s | step_avg:8949.73ms
step:197/4768 | loss 0.175251 | train_time:1772.03s | step_avg:8949.63ms
step:198/4768 | loss 0.174260 | train_time:1780.96s | step_avg:8949.54ms
step:199/4768 | loss 0.176067 | train_time:1789.89s | step_avg:8949.44ms
step:200/4768 | loss 0.178540 | train_time:1798.82s | step_avg:8949.34ms
step:201/4768 | loss 0.175578 | train_time:1807.75s | step_avg:8949.25ms
step:202/4768 | loss 0.176737 | train_time:1816.68s | step_avg:8949.16ms
step:203/4768 | loss 0.175630 | train_time:1825.61s | step_avg:8949.07ms
step:204/4768 | loss 0.175722 | train_time:1834.54s | step_avg:8948.98ms
step:205/4768 | loss 0.170579 | train_time:1843.47s | step_avg:8948.89ms
step:206/4768 | loss 0.174168 | train_time:1852.40s | step_avg:8948.81ms
step:207/4768 | loss 0.174686 | train_time:1861.33s | step_avg:8948.72ms
step:208/4768 | loss 0.172367 | train_time:1870.26s | step_avg:8948.63ms
